precinct,hisp,total,pct_hisp,total_votes,pct_obama,pct_romney
ALDEN - ED 001,3,883,0.003397508,646,0.394736842,0.558823529
ALDEN - ED 002,2,1030,0.001941748,747,0.331994645,0.633199465
ALDEN - ED 003,5,1011,0.004945598,780,0.356410256,0.615384615
ALDEN - ED 004,4,737,0.005427408,523,0.328871893,0.650095602
ALDEN - ED 005,6,732,0.008196721,531,0.337099812,0.63653484
ALDEN - ED 006,2,862,0.002320186,525,0.403809524,0.567619048
ALDEN - ED 007,1,775,0.001290323,547,0.341864717,0.625228519
AMHERST - ED 001,10,1333,0.007501875,975,0.533333333,0.447179487
AMHERST - ED 002,3,736,0.004076087,577,0.542461005,0.445407279
AMHERST - ED 003,9,898,0.010022272,610,0.555737705,0.41147541
AMHERST - ED 004,13,942,0.013800425,653,0.513016845,0.448698315
AMHERST - ED 005,30,1309,0.022918258,922,0.481561822,0.501084599
AMHERST - ED 006,3,955,0.003141361,738,0.527100271,0.451219512
AMHERST - ED 007,8,861,0.009291521,588,0.515306122,0.464285714
AMHERST - ED 008,1,1022,0.000978474,799,0.513141427,0.459324155
AMHERST - ED 009,2,1108,0.001805054,842,0.58432304,0.385985748
AMHERST - ED 010,,1184,,934,0.55888651,0.420770878
AMHERST - ED 011,1,995,0.001005025,769,0.582574772,0.396618986
AMHERST - ED 012,,914,,754,0.50265252,0.474801061
AMHERST - ED 013,5,1376,0.003633721,1007,0.586891758,0.383316783
AMHERST - ED 014,11,842,0.013064133,588,0.724489796,0.241496599
AMHERST - ED 015,7,1284,0.005451713,976,0.579918033,0.397540984
AMHERST - ED 016,9,1032,0.00872093,819,0.492063492,0.48962149
AMHERST - ED 017,4,721,0.00554785,567,0.553791887,0.428571429
AMHERST - ED 018,8,1167,0.006855184,881,0.528944381,0.434733258
AMHERST - ED 019,4,1312,0.00304878,1043,0.535953979,0.436241611
AMHERST - ED 020,5,1141,0.004382121,884,0.512443439,0.46040724
AMHERST - ED 021,16,991,0.016145308,735,0.492517007,0.488435374
AMHERST - ED 022,2,389,0.005141388,298,0.439597315,0.553691275
AMHERST - ED 023,6,1119,0.00536193,748,0.390374332,0.596256684
AMHERST - ED 024,1,1001,0.000999001,725,0.546206897,0.444137931
AMHERST - ED 025,6,1011,0.005934718,791,0.481668774,0.495575221
AMHERST - ED 026,12,1128,0.010638298,743,0.488559892,0.489905787
AMHERST - ED 027,2,1060,0.001886792,803,0.493150685,0.494396015
AMHERST - ED 028,2,944,0.002118644,728,0.501373626,0.48489011
AMHERST - ED 029,7,1249,0.005604484,996,0.50502008,0.480923695
AMHERST - ED 030,12,1352,0.00887574,1022,0.498043053,0.48630137
AMHERST - ED 031,11,1259,0.008737093,921,0.46145494,0.522258415
AMHERST - ED 032,19,727,0.026134801,490,0.493877551,0.489795918
AMHERST - ED 033,11,1210,0.009090909,875,0.525714286,0.454857143
AMHERST - ED 034,10,1035,0.009661836,671,0.566318927,0.385991058
AMHERST - ED 035,20,1122,0.017825312,853,0.633059789,0.348182884
AMHERST - ED 036,24,1126,0.021314387,779,0.675224647,0.300385109
AMHERST - ED 037,13,852,0.015258216,561,0.622103387,0.349376114
AMHERST - ED 038,8,957,0.008359457,621,0.592592593,0.383252818
AMHERST - ED 039,7,496,0.014112903,318,0.63836478,0.330188679
AMHERST - ED 040,62,715,0.086713287,149,0.718120805,0.234899329
AMHERST - ED 041,35,255,0.137254902,81,0.851851852,0.086419753
AMHERST - ED 042,12,1057,0.011352886,779,0.46084724,0.522464698
AMHERST - ED 043,16,967,0.016546019,675,0.554074074,0.419259259
AMHERST - ED 044,22,1040,0.021153846,808,0.491336634,0.482673267
AMHERST - ED 045,6,749,0.008010681,635,0.499212598,0.492913386
AMHERST - ED 046,12,1150,0.010434783,881,0.513053348,0.47446084
AMHERST - ED 047,21,966,0.02173913,694,0.463976945,0.523054755
AMHERST - ED 048,2,628,0.003184713,461,0.488069414,0.481561822
AMHERST - ED 049,19,1005,0.018905473,796,0.518844221,0.459798995
AMHERST - ED 050,5,543,0.009208103,405,0.543209877,0.422222222
AMHERST - ED 051,20,1050,0.019047619,677,0.542097489,0.429837518
AMHERST - ED 052,16,1036,0.015444015,773,0.500646831,0.485122898
AMHERST - ED 053,16,1348,0.011869436,1039,0.466794995,0.512030799
AMHERST - ED 054,,1305,,955,0.469109948,0.516230366
AMHERST - ED 055,6,1233,0.00486618,910,0.367032967,0.613186813
AMHERST - ED 056,11,1235,0.008906883,921,0.458197611,0.527687296
AMHERST - ED 057,6,1384,0.00433526,976,0.423155738,0.556352459
AMHERST - ED 058,16,1484,0.010781671,1080,0.443518519,0.540740741
AMHERST - ED 059,,177,,134,0.402985075,0.582089552
AMHERST - ED 060,13,935,0.013903743,730,0.443835616,0.54109589
AMHERST - ED 061,16,1294,0.01236476,928,0.572198276,0.41487069
AMHERST - ED 062,5,739,0.0067659,527,0.612903226,0.356736243
AMHERST - ED 063,27,1314,0.020547945,993,0.487411883,0.486404834
AMHERST - ED 064,19,1028,0.01848249,725,0.543448276,0.420689655
AMHERST - ED 065,1,324,0.00308642,223,0.560538117,0.381165919
