precinct,hisp,total_reg,pct_hisp,total_votes,pct_clinton,pct_trump
ALDEN - ED 001,3,883,0.003397508,653,0.298621746,0.58805513
ALDEN - ED 002,2,1030,0.001941748,805,0.211180124,0.714285714
ALDEN - ED 003,5,1011,0.004945598,814,0.267813268,0.648648649
ALDEN - ED 004,4,737,0.005427408,586,0.21331058,0.735494881
ALDEN - ED 005,6,732,0.008196721,525,0.234285714,0.706666667
ALDEN - ED 006,2,862,0.002320186,570,0.289473684,0.622807018
ALDEN - ED 007,1,775,0.001290323,573,0.218150087,0.739965096
AMHERST - ED 001,10,1333,0.007501875,1035,0.556521739,0.374879227
AMHERST - ED 002,3,736,0.004076087,544,0.522058824,0.404411765
AMHERST - ED 003,9,898,0.010022272,641,0.561622465,0.358814353
AMHERST - ED 004,13,942,0.013800425,705,0.482269504,0.431205674
AMHERST - ED 005,30,1309,0.022918258,940,0.421276596,0.506382979
AMHERST - ED 006,3,955,0.003141361,769,0.504551365,0.427828349
AMHERST - ED 007,8,861,0.009291521,644,0.482919255,0.420807453
AMHERST - ED 008,1,1022,0.000978474,810,0.50617284,0.398765432
AMHERST - ED 009,2,1108,0.001805054,842,0.605700713,0.330166271
AMHERST - ED 010,,1184,0,930,0.588172043,0.34516129
AMHERST - ED 011,1,995,0.001005025,796,0.631909548,0.292713568
AMHERST - ED 012,,914,0,739,0.549391069,0.342354533
AMHERST - ED 013,5,1376,0.003633721,1034,0.590909091,0.323017408
AMHERST - ED 014,11,842,0.013064133,586,0.708191126,0.223549488
AMHERST - ED 015,7,1284,0.005451713,964,0.610995851,0.314315353
AMHERST - ED 016,9,1032,0.00872093,848,0.564858491,0.358490566
AMHERST - ED 017,4,721,0.00554785,564,0.583333333,0.358156028
AMHERST - ED 018,8,1167,0.006855184,903,0.560354374,0.339977852
AMHERST - ED 019,4,1312,0.00304878,1073,0.5722274,0.352283318
AMHERST - ED 020,5,1141,0.004382121,910,0.542857143,0.397802198
AMHERST - ED 021,16,991,0.016145308,761,0.498028909,0.421813403
AMHERST - ED 022,2,389,0.005141388,310,0.496774194,0.435483871
AMHERST - ED 023,6,1119,0.00536193,853,0.396248535,0.534583822
AMHERST - ED 024,1,1001,0.000999001,686,0.521865889,0.427113703
AMHERST - ED 025,6,1011,0.005934718,787,0.471410419,0.482846252
AMHERST - ED 026,12,1128,0.010638298,826,0.427360775,0.489104116
AMHERST - ED 027,2,1060,0.001886792,832,0.493990385,0.444711538
AMHERST - ED 028,2,944,0.002118644,730,0.504109589,0.44109589
AMHERST - ED 029,7,1249,0.005604484,1018,0.523575639,0.422396857
AMHERST - ED 030,12,1352,0.00887574,1056,0.520833333,0.430871212
AMHERST - ED 031,11,1259,0.008737093,968,0.463842975,0.460743802
AMHERST - ED 032,19,727,0.026134801,534,0.496254682,0.4082397
AMHERST - ED 033,11,1210,0.009090909,865,0.505202312,0.427745665
AMHERST - ED 034,10,1035,0.009661836,696,0.518678161,0.41954023
AMHERST - ED 035,20,1122,0.017825312,870,0.6,0.333333333
AMHERST - ED 036,24,1126,0.021314387,773,0.642949547,0.287192755
AMHERST - ED 037,13,852,0.015258216,598,0.578595318,0.351170569
AMHERST - ED 038,8,957,0.008359457,647,0.540958269,0.367851623
AMHERST - ED 039,7,496,0.014112903,368,0.644021739,0.293478261
AMHERST - ED 040,62,715,0.086713287,639,0.727699531,0.205007825
AMHERST - ED 041,35,255,0.137254902,231,0.753246753,0.142857143
AMHERST - ED 042,12,1057,0.011352886,798,0.448621554,0.463659148
AMHERST - ED 043,16,967,0.016546019,680,0.547058824,0.392647059
AMHERST - ED 044,22,1040,0.021153846,785,0.507006369,0.430573248
AMHERST - ED 045,6,749,0.008010681,589,0.482173175,0.478777589
AMHERST - ED 046,12,1150,0.010434783,877,0.54618016,0.411630559
