"precinct","total_votes","pct_clinton","pct_trump","pct_hisp","county"
"Precinct 1",549,0.68852459,0.21129326,0.027672956,"bloomington_2016_returns.csv"
"Precinct 2",602,0.441860465,0.445182724,0.024390244,"bloomington_2016_returns.csv"
"Precinct 3",664,0.447289157,0.450301205,0.002364066,"bloomington_2016_returns.csv"
"Precinct 4",996,0.604417671,0.299196787,0.039610841,"bloomington_2016_returns.csv"
"Precinct 5",516,0.55620155,0.354651163,0.036144578,"bloomington_2016_returns.csv"
"Precinct 6",811,0.680641184,0.241676942,0.03974284,"bloomington_2016_returns.csv"
"Precinct 7",770,0.672727273,0.238961039,0.045394737,"bloomington_2016_returns.csv"
"Precinct 8",440,0.375,0.543181818,0.009057971,"bloomington_2016_returns.csv"
"Precinct 9",736,0.660326087,0.230978261,0.03201787,"bloomington_2016_returns.csv"
"Precinct 10",962,0.395010395,0.503118503,0.028749029,"bloomington_2016_returns.csv"
"Precinct 11",821,0.405602923,0.503045067,0.011090573,"bloomington_2016_returns.csv"
"Precinct 12",714,0.606442577,0.287114846,0.043921569,"bloomington_2016_returns.csv"
"Precinct 13",633,0.515007899,0.409162717,0.013227513,"bloomington_2016_returns.csv"
"Precinct 14",539,0.428571429,0.46567718,0,"bloomington_2016_returns.csv"
"Precinct 15",658,0.53343465,0.346504559,0.034552846,"bloomington_2016_returns.csv"
"Precinct 16",636,0.525157233,0.327044025,0.016393443,"bloomington_2016_returns.csv"
"Precinct 17",607,0.453047776,0.471169687,0.019036954,"bloomington_2016_returns.csv"
"Precinct 18",734,0.509536785,0.400544959,0.015639374,"bloomington_2016_returns.csv"
"Precinct 19",622,0.471061093,0.443729904,0.015151515,"bloomington_2016_returns.csv"
"Precinct 20",771,0.46692607,0.438391699,0.01719457,"bloomington_2016_returns.csv"
"Precinct 21",661,0.497730711,0.420574887,0.013215859,"bloomington_2016_returns.csv"
"Precinct 22",935,0.54973262,0.372192513,0.007431874,"bloomington_2016_returns.csv"
"Precinct 23",828,0.576086957,0.304347826,0.014025245,"bloomington_2016_returns.csv"
"Precinct 24",701,0.576319544,0.322396576,0.025853154,"bloomington_2016_returns.csv"
"Precinct 25",878,0.480637813,0.417995444,0.011596789,"bloomington_2016_returns.csv"
"Precinct 26",322,0.667701863,0.239130435,0.093862816,"bloomington_2016_returns.csv"
"Precinct 27",755,0.490066225,0.41192053,0.011730205,"bloomington_2016_returns.csv"
"Precinct 28",593,0.50084317,0.403035413,0.005221932,"bloomington_2016_returns.csv"
"Precinct 29",504,0.470238095,0.454365079,0.030463576,"bloomington_2016_returns.csv"
"Precinct 30",428,0.469626168,0.429906542,0.021164021,"bloomington_2016_returns.csv"
"Precinct 31",696,0.540229885,0.353448276,0.033304119,"bloomington_2016_returns.csv"
"Precinct 32",481,0.471933472,0.444906445,0.021768707,"bloomington_2016_returns.csv"
"Precinct 33",808,0.375,0.517326733,0.004950495,"bloomington_2016_returns.csv"
"Precinct 34",828,0.420289855,0.45410628,0.017605634,"bloomington_2016_returns.csv"
"Precinct 35",1079,0.436515292,0.466172382,0.014637392,"bloomington_2016_returns.csv"
"Precinct 36",906,0.452538631,0.456953642,0.011139674,"bloomington_2016_returns.csv"
"Precinct 37",545,0.418348624,0.47706422,0.017518248,"bloomington_2016_returns.csv"
"Precinct 38",718,0.435933148,0.473537604,0.017021277,"bloomington_2016_returns.csv"
"Precinct 39",729,0.449931413,0.465020576,0.002207506,"bloomington_2016_returns.csv"
"Precinct 40",1028,0.424124514,0.473735409,0.012399708,"bloomington_2016_returns.csv"
"Precinct 41",716,0.536312849,0.349162011,0.027488152,"bloomington_2016_returns.csv"
"Precinct 42",642,0.423676012,0.46728972,0.021197007,"bloomington_2016_returns.csv"
"Precinct 43",997,0.41223671,0.495486459,0.023041475,"bloomington_2016_returns.csv"
"Precinct 44",1012,0.397233202,0.502964427,0.00693909,"bloomington_2016_returns.csv"
"Precinct 45",501,0.471057884,0.439121756,0.001494768,"bloomington_2016_returns.csv"
"Precinct 46",331,0.432024169,0.47734139,0.060893099,"bloomington_2016_returns.csv"
"Precinct 47",324,0.432098765,0.469135802,0.028333333,"bloomington_2016_returns.csv"
"Precinct 48",468,0.487179487,0.416666667,0.015797788,"bloomington_2016_returns.csv"
"Precinct 49",554,0.40433213,0.496389892,0.015736767,"bloomington_2016_returns.csv"
"Precinct 50",406,0.376847291,0.536945813,0.017374517,"bloomington_2016_returns.csv"
"Precinct 51",654,0.504587156,0.391437309,0.011677282,"bloomington_2016_returns.csv"
"Precinct 52",762,0.372703412,0.526246719,0.012219959,"bloomington_2016_returns.csv"
"Ayers",238,0.226890756,0.693277311,0.003448276,"champaign_2016_returns.csv"
"Brown Fisher",831,0.21299639,0.688327316,0.002719855,"champaign_2016_returns.csv"
