"precinct","total_votes","pct_obama","pct_romney","pct_hisp","county"
"allegany 1",777,0.438867439,0.528957529,0.00428449,"cattaraugus_2012_merged.csv"
"allegany 2",480,0.529166667,0.4375,0.022641509,"cattaraugus_2012_merged.csv"
"allegany 3",558,0.376344086,0.605734767,0.001150748,"cattaraugus_2012_merged.csv"
"allegany 4",669,0.387144993,0.590433483,0.007928642,"cattaraugus_2012_merged.csv"
"allegany 5",619,0.43457189,0.528271405,0.002072539,"cattaraugus_2012_merged.csv"
"ashford 1",290,0.424137931,0.537931034,0,"cattaraugus_2012_merged.csv"
"ashford 2",623,0.385232745,0.576243981,0.001955034,"cattaraugus_2012_merged.csv"
"carrollton 1",511,0.436399217,0.542074364,0.004333694,"cattaraugus_2012_merged.csv"
"city of olean ward 1",938,0.442430704,0.52238806,0,"cattaraugus_2012_merged.csv"
"city of olean ward 2",886,0.451467269,0.521444695,0,"cattaraugus_2012_merged.csv"
"city of olean ward 3",689,0.513788099,0.468795356,0.003270646,"cattaraugus_2012_merged.csv"
"city of olean ward 4",576,0.5,0.451388889,0.017887564,"cattaraugus_2012_merged.csv"
"city of olean ward 5",712,0.532303371,0.428370787,0.003987241,"cattaraugus_2012_merged.csv"
"city of olean ward 6",755,0.495364238,0.474172185,0.010612245,"cattaraugus_2012_merged.csv"
"city of olean ward 7",748,0.463903743,0.494652406,0.003067485,"cattaraugus_2012_merged.csv"
"city of salamanca ward 1",388,0.574742268,0.355670103,0.005110733,"cattaraugus_2012_merged.csv"
"city of salamanca ward 2",750,0.604,0.344,0.020815987,"cattaraugus_2012_merged.csv"
"city of salamanca ward 3",286,0.56993007,0.391608392,0.028673835,"cattaraugus_2012_merged.csv"
"city of salamanca ward 4",515,0.638834951,0.314563107,0.040097205,"cattaraugus_2012_merged.csv"
"city of salamanca ward 5",399,0.571428571,0.403508772,0.006125574,"cattaraugus_2012_merged.csv"
"coldspring 1",342,0.339181287,0.637426901,0,"cattaraugus_2012_merged.csv"
"conewango 1",395,0.286075949,0.693670886,0.001331558,"cattaraugus_2012_merged.csv"
"dayton 1",654,0.359327217,0.614678899,0.001831502,"cattaraugus_2012_merged.csv"
"east otto 1",405,0.397530864,0.587654321,0.001531394,"cattaraugus_2012_merged.csv"
"ellicottville 1",750,0.397333333,0.550666667,0,"cattaraugus_2012_merged.csv"
"farmersville 1",416,0.305288462,0.675480769,0,"cattaraugus_2012_merged.csv"
"franklinville 1",580,0.425862069,0.532758621,0.000929368,"cattaraugus_2012_merged.csv"
"franklinville 2",505,0.384158416,0.603960396,0.003456221,"cattaraugus_2012_merged.csv"
"freedom 1",833,0.338535414,0.639855942,0,"cattaraugus_2012_merged.csv"
"great valley 1",352,0.474431818,0.502840909,0.009508716,"cattaraugus_2012_merged.csv"
"great valley 2",637,0.4144427,0.549450549,0.00097561,"cattaraugus_2012_merged.csv"
"hinsdale 1",820,0.325609756,0.654878049,0,"cattaraugus_2012_merged.csv"
"humphrey 1",295,0.372881356,0.589830508,0,"cattaraugus_2012_merged.csv"
"ischua 1",298,0.379194631,0.604026846,0,"cattaraugus_2012_merged.csv"
"leon 1",295,0.349152542,0.616949153,0,"cattaraugus_2012_merged.csv"
"little valley 1",683,0.396778917,0.573938507,0.008587786,"cattaraugus_2012_merged.csv"
"lyndon 1",269,0.420074349,0.568773234,0.004376368,"cattaraugus_2012_merged.csv"
"machias 1",833,0.350540216,0.613445378,0.001380262,"cattaraugus_2012_merged.csv"
"mansfield 1",348,0.367816092,0.606321839,0.001715266,"cattaraugus_2012_merged.csv"
"napoli 1",792,0.356060606,0.623737374,0.001349528,"cattaraugus_2012_merged.csv"
"new albion 1",414,0.31884058,0.654589372,0.001578532,"cattaraugus_2012_merged.csv"
"otto 1",342,0.438596491,0.538011696,0.001893939,"cattaraugus_2012_merged.csv"
"persia 1",804,0.425373134,0.547263682,0.000727802,"cattaraugus_2012_merged.csv"
"portville 1",714,0.3767507,0.599439776,0,"cattaraugus_2012_merged.csv"
"portville 2",752,0.359042553,0.621010638,0,"cattaraugus_2012_merged.csv"
"randolph 1",491,0.380855397,0.602851324,0.00244798,"cattaraugus_2012_merged.csv"
"randolph 2",543,0.335174954,0.644567219,0.006321113,"cattaraugus_2012_merged.csv"
"red house 1",30,0.166666667,0.833333333,0,"cattaraugus_2012_merged.csv"
"south valley 1",127,0.409448819,0.559055118,0,"cattaraugus_2012_merged.csv"
"town of olean 1",328,0.381097561,0.570121951,0.005847953,"cattaraugus_2012_merged.csv"
"town of olean 2",588,0.367346939,0.62585034,0,"cattaraugus_2012_merged.csv"
"town of salamanca 1",305,0.573770492,0.409836066,0.003407155,"cattaraugus_2012_merged.csv"
"yorkshire 1",622,0.356913183,0.615755627,0.000909091,"cattaraugus_2012_merged.csv"
"yorkshire 2",661,0.405446293,0.562783661,0,"cattaraugus_2012_merged.csv"
"arkwright 1",527,0.459203036,0.499051233,0.001206273,"chautauqua_2012_merged.csv"
"busti 1",441,0.378684807,0.596371882,0.000652316,"chautauqua_2012_merged.csv"
"busti 2",512,0.44921875,0.533203125,0.002504174,"chautauqua_2012_merged.csv"
"busti 3",471,0.350318471,0.632696391,0,"chautauqua_2012_merged.csv"
"busti 4",573,0.420593368,0.544502618,0.003601441,"chautauqua_2012_merged.csv"
"busti 5",540,0.272222222,0.698148148,0.004149378,"chautauqua_2012_merged.csv"
"carroll 1",612,0.35620915,0.611111111,0.000759878,"chautauqua_2012_merged.csv"
"carroll 2",621,0.264090177,0.700483092,0,"chautauqua_2012_merged.csv"
"charlotte 1",501,0.421157685,0.566866267,0.000898473,"chautauqua_2012_merged.csv"
"chautauqua 1",658,0.472644377,0.490881459,0.012232416,"chautauqua_2012_merged.csv"
"chautauqua 2",319,0.4169279,0.567398119,0.002659574,"chautauqua_2012_merged.csv"
"chautauqua 3",435,0.308045977,0.636781609,0.006349206,"chautauqua_2012_merged.csv"
"chautauqua 4",326,0.530674847,0.432515337,0,"chautauqua_2012_merged.csv"
"cherry creek 1",394,0.38071066,0.598984772,0.001572327,"chautauqua_2012_merged.csv"
"clymer 1",333,0.219219219,0.735735736,0,"chautauqua_2012_merged.csv"
"dunkirk town 1",272,0.507352941,0.474264706,0.137614679,"chautauqua_2012_merged.csv"
"dunkirk town 2",310,0.474193548,0.506451613,0.056701031,"chautauqua_2012_merged.csv"
"dunkirk ward 1 1",250,0.756,0.228,0.480549199,"chautauqua_2012_merged.csv"
"dunkirk ward 1 2",389,0.676092545,0.293059126,0.206053551,"chautauqua_2012_merged.csv"
"dunkirk ward 1 3",378,0.62962963,0.351851852,0.058500914,"chautauqua_2012_merged.csv"
"dunkirk ward 2 1",376,0.606382979,0.361702128,0.22406015,"chautauqua_2012_merged.csv"
"dunkirk ward 2 2",332,0.614457831,0.355421687,0.119083969,"chautauqua_2012_merged.csv"
"dunkirk ward 2 3",475,0.612631579,0.370526316,0.060728745,"chautauqua_2012_merged.csv"
"dunkirk ward 3 1",232,0.75862069,0.211206897,0.406679764,"chautauqua_2012_merged.csv"
"dunkirk ward 3 2",414,0.628019324,0.330917874,0.151442308,"chautauqua_2012_merged.csv"
"dunkirk ward 3 3",351,0.524216524,0.452991453,0.144846797,"chautauqua_2012_merged.csv"
"dunkirk ward 4 1",170,0.752941176,0.205882353,0.510869565,"chautauqua_2012_merged.csv"
"dunkirk ward 4 2",260,0.561538462,0.434615385,0.09406953,"chautauqua_2012_merged.csv"
"dunkirk ward 4 3",456,0.611842105,0.346491228,0.090507726,"chautauqua_2012_merged.csv"
"ellery 1",603,0.268656716,0.713101161,0.000993049,"chautauqua_2012_merged.csv"
"ellery 2",381,0.356955381,0.624671916,0,"chautauqua_2012_merged.csv"
"ellery 3",387,0.42377261,0.555555556,0.001811594,"chautauqua_2012_merged.csv"
"ellicott ward 1 1",402,0.482587065,0.497512438,0.008915305,"chautauqua_2012_merged.csv"
"ellicott ward 1 2",478,0.456066946,0.525104603,0.005427408,"chautauqua_2012_merged.csv"
"ellicott ward 2 1",783,0.409961686,0.568326948,0.008517888,"chautauqua_2012_merged.csv"
"ellicott ward 2 2",376,0.364361702,0.611702128,0.002793296,"chautauqua_2012_merged.csv"
"ellicott ward 3 1",539,0.448979592,0.532467532,0.007882883,"chautauqua_2012_merged.csv"
"ellicott ward 3 2",417,0.381294964,0.597122302,0.004862237,"chautauqua_2012_merged.csv"
"ellicott ward 4 1",359,0.401114206,0.573816156,0.003231018,"chautauqua_2012_merged.csv"
"ellicott ward 4 2",478,0.320083682,0.658995816,0,"chautauqua_2012_merged.csv"
"ellicott ward 4 3",192,0.34375,0.604166667,0.001075269,"chautauqua_2012_merged.csv"
"ellington 1",613,0.358890701,0.623164763,0,"chautauqua_2012_merged.csv"
"french creek 1",365,0.298630137,0.676712329,0,"chautauqua_2012_merged.csv"
"gerry 1",456,0.289473684,0.690789474,0.000766871,"chautauqua_2012_merged.csv"
"hanover 1",318,0.496855346,0.462264151,0.001154734,"chautauqua_2012_merged.csv"
"hanover 2",310,0.538709677,0.441935484,0.005063291,"chautauqua_2012_merged.csv"
"hanover 3",418,0.526315789,0.454545455,0.003370787,"chautauqua_2012_merged.csv"
"hanover 4",467,0.531049251,0.447537473,0.020169851,"chautauqua_2012_merged.csv"
"hanover 5",287,0.400696864,0.581881533,0.010342084,"chautauqua_2012_merged.csv"
"harmony 1",521,0.345489443,0.621880998,0.001230012,"chautauqua_2012_merged.csv"
"harmony 2",430,0.36744186,0.613953488,0,"chautauqua_2012_merged.csv"
"jamestown ward 1 1",225,0.577777778,0.386666667,0.092913386,"chautauqua_2012_merged.csv"
"jamestown ward 1 2",318,0.525157233,0.43081761,0.059023837,"chautauqua_2012_merged.csv"
"jamestown ward 1 3",409,0.533007335,0.452322738,0.01722282,"chautauqua_2012_merged.csv"
"jamestown ward 2 1",478,0.60251046,0.361924686,0.169616519,"chautauqua_2012_merged.csv"
"jamestown ward 2 2",201,0.626865672,0.353233831,0.126482213,"chautauqua_2012_merged.csv"
"jamestown ward 2 3",529,0.50094518,0.472589792,0.032347505,"chautauqua_2012_merged.csv"
"jamestown ward 3 1",248,0.556451613,0.407258065,0.098809524,"chautauqua_2012_merged.csv"
"jamestown ward 3 2",258,0.53875969,0.437984496,0.099664054,"chautauqua_2012_merged.csv"
"jamestown ward 3 3",336,0.538690476,0.4375,0.065326633,"chautauqua_2012_merged.csv"
"jamestown ward 3 4",200,0.71,0.26,0.309210526,"chautauqua_2012_merged.csv"
"jamestown ward 4 1",517,0.477756286,0.49516441,0.044463087,"chautauqua_2012_merged.csv"
"jamestown ward 4 2",541,0.463955638,0.500924214,0.019810508,"chautauqua_2012_merged.csv"
"jamestown ward 4 3",670,0.471641791,0.507462687,0.002006018,"chautauqua_2012_merged.csv"
"jamestown ward 5 1",479,0.536534447,0.43006263,0.0064,"chautauqua_2012_merged.csv"
"jamestown ward 5 2",335,0.540298507,0.432835821,0.01489573,"chautauqua_2012_merged.csv"
"jamestown ward 5 3",520,0.525,0.457692308,0.020104895,"chautauqua_2012_merged.csv"
"jamestown ward 6 1",303,0.580858086,0.405940594,0.031354983,"chautauqua_2012_merged.csv"
"jamestown ward 6 2",256,0.62890625,0.3515625,0.064748201,"chautauqua_2012_merged.csv"
"jamestown ward 6 3",256,0.5390625,0.44140625,0.024033438,"chautauqua_2012_merged.csv"
"kiantone 1",363,0.443526171,0.539944904,0,"chautauqua_2012_merged.csv"
"mina 1",525,0.358095238,0.620952381,0,"chautauqua_2012_merged.csv"
"north harmony 1",625,0.3872,0.5904,0,"chautauqua_2012_merged.csv"
"north harmony 2",547,0.358318099,0.619744059,0.001210654,"chautauqua_2012_merged.csv"
"poland 1",486,0.341563786,0.635802469,0,"chautauqua_2012_merged.csv"
"poland 2",526,0.30608365,0.663498099,0.00120919,"chautauqua_2012_merged.csv"
"pomfret 1",827,0.519951632,0.45828295,0.002129925,"chautauqua_2012_merged.csv"
"pomfret 2",684,0.633040936,0.330409357,0.021683673,"chautauqua_2012_merged.csv"
"pomfret 3",46,0.804347826,0.130434783,0.008910891,"chautauqua_2012_merged.csv"
"pomfret 4",805,0.60621118,0.370186335,0.018920813,"chautauqua_2012_merged.csv"
"pomfret 5",622,0.599678457,0.360128617,0.015246637,"chautauqua_2012_merged.csv"
"pomfret 6",579,0.523316062,0.452504318,0.059615385,"chautauqua_2012_merged.csv"
"pomfret 7",537,0.411545624,0.575418994,0.02954342,"chautauqua_2012_merged.csv"
"pomfret 8",632,0.473101266,0.47943038,0.008083141,"chautauqua_2012_merged.csv"
"portland 1",539,0.402597403,0.573283859,0.014380531,"chautauqua_2012_merged.csv"
"portland 2",456,0.372807018,0.600877193,0.01217862,"chautauqua_2012_merged.csv"
"portland 3",500,0.474,0.492,0.030624264,"chautauqua_2012_merged.csv"
"ripley 1",201,0.383084577,0.577114428,0,"chautauqua_2012_merged.csv"
"ripley 2",405,0.382716049,0.590123457,0.001197605,"chautauqua_2012_merged.csv"
"sheridan 1",506,0.462450593,0.511857708,0.013647643,"chautauqua_2012_merged.csv"
"sheridan 2",394,0.525380711,0.456852792,0.019417476,"chautauqua_2012_merged.csv"
"stockton 1",340,0.367647059,0.605882353,0.004689332,"chautauqua_2012_merged.csv"
"stockton 2",378,0.373015873,0.603174603,0,"chautauqua_2012_merged.csv"
"villenova 1",431,0.445475638,0.522041763,0.001424501,"chautauqua_2012_merged.csv"
"westfield 1",512,0.404296875,0.564453125,0.001895735,"chautauqua_2012_merged.csv"
"westfield 2",481,0.442827443,0.542619543,0.01061008,"chautauqua_2012_merged.csv"
"westfield 3",533,0.437148218,0.549718574,0.003303055,"chautauqua_2012_merged.csv"
"afton 1",1067,0.420805998,0.554826617,0.00515168860904408,"chenango_2012_merged.csv"
"bainbridge 1",1260,0.483333333,0.473809524,0.00099601593625498,"chenango_2012_merged.csv"
"columbus 1",359,0.412256267,0.56545961,0.00529100529100529,"chenango_2012_merged.csv"
"coventry 1",676,0.417159763,0.551775148,0.00294985250737463,"chenango_2012_merged.csv"
