"precinct","total_votes","pct_clinton","pct_trump","pct_hisp","county"
"allegany 1",767,0.391134289,0.518904824,0.00428449,"cattaraugus_2016_merged.csv"
"allegany 2",406,0.435960591,0.467980296,0.022641509,"cattaraugus_2016_merged.csv"
"allegany 3",566,0.312720848,0.613074205,0.001150748,"cattaraugus_2016_merged.csv"
"allegany 4",684,0.283625731,0.637426901,0.007928642,"cattaraugus_2016_merged.csv"
"allegany 5",634,0.335962145,0.596214511,0.002072539,"cattaraugus_2016_merged.csv"
"ashford 1",340,0.273529412,0.632352941,0,"cattaraugus_2016_merged.csv"
"ashford 2",715,0.286713287,0.640559441,0.001955034,"cattaraugus_2016_merged.csv"
"carrollton 1",545,0.240366972,0.671559633,0.004333694,"cattaraugus_2016_merged.csv"
"city of olean ward 1",998,0.388777555,0.536072144,0,"cattaraugus_2016_merged.csv"
"city of olean ward 2",905,0.387845304,0.541436464,0,"cattaraugus_2016_merged.csv"
"city of olean ward 3",728,0.42032967,0.490384615,0.003270646,"cattaraugus_2016_merged.csv"
"city of olean ward 4",584,0.443493151,0.477739726,0.017887564,"cattaraugus_2016_merged.csv"
"city of olean ward 5",760,0.436842105,0.486842105,0.003987241,"cattaraugus_2016_merged.csv"
"city of olean ward 6",481,0.455301455,0.434511435,0.010612245,"cattaraugus_2016_merged.csv"
"city of olean ward 7",436,0.371559633,0.53440367,0.003067485,"cattaraugus_2016_merged.csv"
"city of salamanca ward 1",723,0.416320885,0.506224066,0.005110733,"cattaraugus_2016_merged.csv"
"city of salamanca ward 2",763,0.343381389,0.592398427,0.020815987,"cattaraugus_2016_merged.csv"
"city of salamanca ward 3",332,0.412650602,0.5,0.028673835,"cattaraugus_2016_merged.csv"
"city of salamanca ward 4",657,0.444444444,0.461187215,0.040097205,"cattaraugus_2016_merged.csv"
"city of salamanca ward 5",295,0.349152542,0.53220339,0.006125574,"cattaraugus_2016_merged.csv"
"coldspring 1",370,0.202702703,0.732432432,0,"cattaraugus_2016_merged.csv"
"conewango 1",405,0.251851852,0.666666667,0.001331558,"cattaraugus_2016_merged.csv"
"dayton 1",662,0.222054381,0.709969789,0.001831502,"cattaraugus_2016_merged.csv"
"east otto 1",468,0.224358974,0.717948718,0.001531394,"cattaraugus_2016_merged.csv"
"ellicottville 1",786,0.372773537,0.539440204,0,"cattaraugus_2016_merged.csv"
"farmersville 1",512,0.1640625,0.779296875,0,"cattaraugus_2016_merged.csv"
"franklinville 1",611,0.24386252,0.672667758,0.000929368,"cattaraugus_2016_merged.csv"
"franklinville 2",538,0.232342007,0.719330855,0.003456221,"cattaraugus_2016_merged.csv"
"freedom 1",929,0.186221744,0.763186222,0,"cattaraugus_2016_merged.csv"
"great valley 1",376,0.332446809,0.587765957,0.009508716,"cattaraugus_2016_merged.csv"
"great valley 2",662,0.296072508,0.645015106,0.00097561,"cattaraugus_2016_merged.csv"
"hinsdale 1",854,0.243559719,0.68618267,0,"cattaraugus_2016_merged.csv"
"humphrey 1",316,0.221518987,0.696202532,0,"cattaraugus_2016_merged.csv"
"ischua 1",338,0.23964497,0.713017751,0,"cattaraugus_2016_merged.csv"
"leon 1",291,0.175257732,0.759450172,0,"cattaraugus_2016_merged.csv"
"little valley 1",689,0.240928882,0.648766328,0.008587786,"cattaraugus_2016_merged.csv"
"lyndon 1",322,0.260869565,0.673913043,0.004376368,"cattaraugus_2016_merged.csv"
"machias 1",901,0.227524972,0.708102109,0.001380262,"cattaraugus_2016_merged.csv"
"mansfield 1",396,0.305555556,0.603535354,0.001715266,"cattaraugus_2016_merged.csv"
"napoli 1",475,0.210526316,0.743157895,0.001349528,"cattaraugus_2016_merged.csv"
"new albion 1",822,0.225060827,0.684914842,0.001578532,"cattaraugus_2016_merged.csv"
"otto 1",353,0.243626062,0.694050992,0.001893939,"cattaraugus_2016_merged.csv"
"persia 1",870,0.27816092,0.635632184,0.000727802,"cattaraugus_2016_merged.csv"
"portville 1",773,0.279430789,0.650711514,0,"cattaraugus_2016_merged.csv"
"portville 2",784,0.276785714,0.659438776,0,"cattaraugus_2016_merged.csv"
"randolph 1",538,0.241635688,0.663568773,0.00244798,"cattaraugus_2016_merged.csv"
"randolph 2",578,0.219723183,0.704152249,0.006321113,"cattaraugus_2016_merged.csv"
"red house 1",26,0.192307692,0.769230769,0,"cattaraugus_2016_merged.csv"
"town of olean 1",335,0.247761194,0.689552239,0.005847953,"cattaraugus_2016_merged.csv"
"town of olean 2",610,0.291803279,0.644262295,0,"cattaraugus_2016_merged.csv"
"town of salamanca 1",319,0.451410658,0.482758621,0.003407155,"cattaraugus_2016_merged.csv"
"yorkshire 1",702,0.225071225,0.710826211,0.000909091,"cattaraugus_2016_merged.csv"
"yorkshire 2",720,0.261111111,0.673611111,0,"cattaraugus_2016_merged.csv"
"arkwright 1",566,0.265017668,0.653710247,0.001206273,"chautauqua_2016_merged.csv"
"busti 1",1108,0.282490975,0.631768953,0.000652316,"chautauqua_2016_merged.csv"
"busti 2",838,0.338902148,0.587112172,0.002504174,"chautauqua_2016_merged.csv"
"busti 3",727,0.376891334,0.544704264,0,"chautauqua_2016_merged.csv"
"busti 4",534,0.282771536,0.646067416,0.003601441,"chautauqua_2016_merged.csv"
"busti 5",657,0.187214612,0.757990868,0.004149378,"chautauqua_2016_merged.csv"
"carroll 1",873,0.21534937,0.705612829,0.000759878,"chautauqua_2016_merged.csv"
"carroll 2",802,0.203241895,0.743142145,0,"chautauqua_2016_merged.csv"
"charlotte 1",719,0.251738526,0.695410292,0.000898473,"chautauqua_2016_merged.csv"
"chautauqua 1",669,0.385650224,0.521674141,0.012232416,"chautauqua_2016_merged.csv"
"chautauqua 2",531,0.290018832,0.63653484,0.002659574,"chautauqua_2016_merged.csv"
"chautauqua 3",618,0.404530744,0.501618123,0.006349206,"chautauqua_2016_merged.csv"
"chautauqua 4",164,0.195121951,0.701219512,0,"chautauqua_2016_merged.csv"
"cherry creek 1",250,0.228,0.708,0.001572327,"chautauqua_2016_merged.csv"
"clymer 1",613,0.161500816,0.763458401,0,"chautauqua_2016_merged.csv"
"dunkirk town 1",279,0.379928315,0.551971326,0.137614679,"chautauqua_2016_merged.csv"
"dunkirk town 2",269,0.412639405,0.501858736,0.056701031,"chautauqua_2016_merged.csv"
"dunkirk ward 1 1",204,0.735294118,0.225490196,0.480549199,"chautauqua_2016_merged.csv"
"dunkirk ward 1 2",501,0.538922156,0.403193613,0.206053551,"chautauqua_2016_merged.csv"
"dunkirk ward 1 3",387,0.483204134,0.441860465,0.058500914,"chautauqua_2016_merged.csv"
"dunkirk ward 2 1",363,0.493112948,0.432506887,0.22406015,"chautauqua_2016_merged.csv"
"dunkirk ward 2 2",805,0.500621118,0.437267081,0.119083969,"chautauqua_2016_merged.csv"
"dunkirk ward 2 3",334,0.392215569,0.520958084,0.060728745,"chautauqua_2016_merged.csv"
"dunkirk ward 3 1",220,0.604545455,0.345454545,0.406679764,"chautauqua_2016_merged.csv"
"dunkirk ward 3 2",254,0.484251969,0.409448819,0.151442308,"chautauqua_2016_merged.csv"
"dunkirk ward 3 3",457,0.43107221,0.514223195,0.144846797,"chautauqua_2016_merged.csv"
"dunkirk ward 4 1",338,0.683431953,0.26035503,0.510869565,"chautauqua_2016_merged.csv"
"dunkirk ward 4 2",316,0.449367089,0.506329114,0.09406953,"chautauqua_2016_merged.csv"
"dunkirk ward 4 3",269,0.416356877,0.475836431,0.090507726,"chautauqua_2016_merged.csv"
"ellery 1",736,0.191576087,0.729619565,0.000993049,"chautauqua_2016_merged.csv"
"ellery 2",646,0.328173375,0.59752322,0,"chautauqua_2016_merged.csv"
"ellery 3",209,0.315789474,0.574162679,0.001811594,"chautauqua_2016_merged.csv"
"ellicott ward 1 1",435,0.337931034,0.597701149,0.008915305,"chautauqua_2016_merged.csv"
"ellicott ward 1 2",460,0.402173913,0.502173913,0.005427408,"chautauqua_2016_merged.csv"
"ellicott ward 2 1",832,0.338942308,0.594951923,0.008517888,"chautauqua_2016_merged.csv"
"ellicott ward 2 2",274,0.288321168,0.675182482,0.002793296,"chautauqua_2016_merged.csv"
"ellicott ward 3 1",534,0.322097378,0.571161049,0.007882883,"chautauqua_2016_merged.csv"
"ellicott ward 3 2",445,0.229213483,0.687640449,0.004862237,"chautauqua_2016_merged.csv"
"ellicott ward 4 1",368,0.293478261,0.605978261,0.003231018,"chautauqua_2016_merged.csv"
"ellicott ward 4 2",31,0.225806452,0.774193548,0,"chautauqua_2016_merged.csv"
"ellicott ward 4 3",663,0.263951735,0.659125189,0.001075269,"chautauqua_2016_merged.csv"
"ellington 1",677,0.192023634,0.745937962,0,"chautauqua_2016_merged.csv"
