precinct,pct_obama,pct_romney,total_votes,pct_hisp,county
B001,0.205284553,0.792682927,492,0.034338358,broward
B004,0.23138833,0.762575453,497,0.044921085,broward
Q020,0.23255814,0.76744186,215,0.086560364,broward
B003,0.245080501,0.744186047,559,0.070932922,broward
B002,0.259259259,0.736296296,675,0.046206503,broward
R050,0.286501377,0.70523416,363,0.147368421,broward
R025,0.287878788,0.712121212,66,0.029904848,broward
R052,0.294715447,0.697154472,492,0.155573376,broward
R017,0.304166667,0.683333333,240,0.102888087,broward
B006,0.31629393,0.678913738,626,0.058432935,broward
R051,0.318766067,0.673521851,389,0.027355623,broward
C025,0.322245322,0.669438669,481,0.134819533,broward
Q091,0.325842697,0.674157303,89,0.294852941,broward
R030,0.333333333,0.666666667,21,0.020473705,broward
C002,0.334328358,0.659701493,335,0.062068966,broward
R009,0.338862559,0.656398104,422,0.112059765,broward
Q090,0.347921225,0.638949672,457,0.23572744,broward
V005,0.348082596,0.646017699,339,0.133900929,broward
Q043,0.349127182,0.645885287,802,0.113872571,broward
R047,0.35,0.65,20,0.203435319,broward
R055,0.352422907,0.63215859,454,0.053710938,broward
Y008,0.352678571,0.633928571,224,0.164174144,broward
C021,0.355640535,0.636711281,523,0.122716895,broward
Q010,0.36,0.63047619,525,0.045843521,broward
R016,0.364273205,0.625218914,571,0.084491979,broward
R020,0.368852459,0.62295082,610,0.151871658,broward
C019,0.369402985,0.621268657,536,0.059264305,broward
T029,0.37,0.615,200,0.236290682,broward
T022,0.371495327,0.619158879,428,0.18286445,broward
T019,0.375342466,0.617808219,730,0.351831897,broward
R012,0.375621891,0.619402985,402,0.0485992,broward
A001,0.376443418,0.618937644,433,0.056197965,broward
R054,0.376753507,0.615230461,499,0.113384484,broward
X047,0.377622378,0.608391608,143,0.39193729,broward
V032,0.377697842,0.616906475,556,0.273473576,broward
C013,0.377840909,0.616477273,352,0.071240106,broward
N024,0.379166667,0.614583333,480,0.099198397,broward
C018,0.382550336,0.606263982,447,0.061867936,broward
Q031,0.383027523,0.605504587,436,0.060330579,broward
R006,0.385802469,0.608024691,324,0.115075825,broward
Y001,0.387706856,0.605200946,423,0.219350074,broward
A004,0.389204545,0.598011364,704,0.127149877,broward
R004,0.389645777,0.602179837,367,0.070337807,broward
R001,0.390291262,0.59223301,515,0.07919331,broward
T018,0.393541877,0.600403633,991,0.227521849,broward
X046,0.393617021,0.595744681,282,0.444777911,broward
R024,0.394366197,0.605633803,71,0.023183926,broward
R053,0.394936709,0.592405063,395,0.131095124,broward
E023,0.396011396,0.595441595,351,0.156308851,broward
C008,0.396226415,0.597484277,159,0.086666667,broward
Q042,0.397417504,0.596843615,697,0.085487078,broward
R010,0.398921833,0.598382749,371,0.099766173,broward
Q070,0.398976982,0.593350384,391,0.39153985,broward
A006,0.401697313,0.581329562,707,0.191169563,broward
C012,0.403131115,0.587084149,511,0.055380743,broward
R005,0.403348554,0.584474886,657,0.077184054,broward
R021,0.404395604,0.578021978,455,0.102838779,broward
A011,0.405555556,0.588888889,180,0.021809745,broward
N012,0.406896552,0.582758621,580,0.199790795,broward
R023,0.40712743,0.586393089,926,0.028811525,broward
