precinct,clinton,trump,total_votes,pct_clinton,pct_trump
ballston 001,255,196,507,0.50295858,0.386587771
ballston 002,262,336,649,0.403697997,0.517719569
ballston 003,347,457,873,0.397479954,0.523482245
ballston 004,381,357,806,0.472704715,0.44292804
ballston 005,199,231,480,0.414583333,0.48125
ballston 006,423,518,1033,0.409486931,0.501452081
ballston 007,182,228,447,0.407158837,0.510067114
ballston 008,200,332,591,0.338409475,0.561759729
ballston 009,151,240,442,0.341628959,0.542986425
charlton 001,297,473,839,0.353992849,0.563766389
charlton 002,122,201,349,0.349570201,0.575931232
charlton 003,218,316,584,0.373287671,0.54109589
charlton 004,304,486,860,0.353488372,0.565116279
cliftonpark 001,286,332,657,0.435312024,0.505327245
cliftonpark 002,255,309,600,0.425,0.515
cliftonpark 003,204,205,456,0.447368421,0.449561404
cliftonpark 004,410,379,876,0.46803653,0.432648402
cliftonpark 005,114,148,282,0.404255319,0.524822695
cliftonpark 006,351,306,700,0.501428571,0.437142857
cliftonpark 007,186,150,355,0.523943662,0.422535211
cliftonpark 008,407,247,699,0.582260372,0.353361946
cliftonpark 009,171,77,276,0.619565217,0.278985507
cliftonpark 010,340,329,714,0.476190476,0.460784314
cliftonpark 011,284,258,602,0.471760797,0.428571429
cliftonpark 012,367,369,783,0.468710089,0.471264368
cliftonpark 013,289,254,601,0.480865225,0.422628952
cliftonpark 014,322,319,700,0.46,0.455714286
cliftonpark 015,385,363,819,0.47008547,0.443223443
cliftonpark 016,326,249,620,0.525806452,0.401612903
cliftonpark 017,240,180,455,0.527472527,0.395604396
cliftonpark 018,361,255,673,0.53640416,0.378900446
cliftonpark 019,356,296,702,0.507122507,0.421652422
cliftonpark 020,323,265,644,0.501552795,0.411490683
cliftonpark 021,382,275,730,0.523287671,0.376712329
cliftonpark 022,323,312,698,0.462750716,0.446991404
cliftonpark 023,276,301,626,0.440894569,0.480830671
cliftonpark 024,340,267,652,0.521472393,0.409509202
cliftonpark 025,360,324,733,0.491132333,0.4420191
cliftonpark 026,236,250,537,0.439478585,0.465549348
cliftonpark 027,249,315,614,0.405537459,0.513029316
cliftonpark 028,211,202,450,0.468888889,0.448888889
cliftonpark 029,372,307,742,0.501347709,0.413746631
cliftonpark 030,175,166,378,0.462962963,0.439153439
cliftonpark 031,406,341,798,0.50877193,0.427318296
cliftonpark 032,264,234,539,0.489795918,0.434137291
cliftonpark 033,323,286,664,0.486445783,0.430722892
cliftonpark 034,444,422,942,0.47133758,0.447983015
corinth 001,149,256,444,0.335585586,0.576576577
corinth 002,171,397,611,0.279869067,0.649754501
corinth 003,167,273,474,0.352320675,0.575949367
corinth 004,104,230,375,0.277333333,0.613333333
corinth 005,169,401,620,0.272580645,0.646774194
day 001,107,309,449,0.23830735,0.688195991
edinburg 001,190,565,792,0.23989899,0.713383838
galway 001,224,387,660,0.339393939,0.586363636
galway 002,254,429,743,0.341857335,0.577388964
galway 003,185,408,639,0.289514867,0.638497653
greenfield 001,222,254,515,0.431067961,0.493203883
greenfield 002,164,229,430,0.381395349,0.53255814
greenfield 003,185,258,495,0.373737374,0.521212121
greenfield 004,318,187,540,0.588888889,0.346296296
greenfield 005,243,310,626,0.388178914,0.495207668
greenfield 006,209,226,482,0.433609959,0.468879668
greenfield 007,149,249,432,0.344907407,0.576388889
greenfield 008,196,195,448,0.4375,0.435267857
hadley 001,100,308,440,0.227272727,0.7
hadley 002,120,333,484,0.247933884,0.688016529
halfmoon 001,218,321,612,0.35620915,0.524509804
halfmoon 002,243,298,574,0.423344948,0.519163763
halfmoon 003,302,395,765,0.394771242,0.516339869
halfmoon 004,366,421,835,0.438323353,0.504191617
halfmoon 005,269,286,584,0.460616438,0.489726027
halfmoon 006,236,309,590,0.4,0.523728814
halfmoon 007,316,331,694,0.455331412,0.476945245
halfmoon 008,255,293,596,0.427852349,0.491610738
halfmoon 009,416,411,909,0.457645765,0.452145215
halfmoon 010,267,186,489,0.54601227,0.380368098
halfmoon 011,453,445,978,0.463190184,0.455010225
halfmoon 012,269,393,698,0.385386819,0.563037249
halfmoon 013,212,175,410,0.517073171,0.426829268
halfmoon 014,323,349,736,0.438858696,0.474184783
halfmoon 015,123,97,249,0.493975904,0.389558233
halfmoon 016,65,127,205,0.317073171,0.619512195
halfmoon 017,145,113,276,0.525362319,0.40942029
halfmoon 018,344,511,914,0.376367615,0.559080963
halfmoon 019,251,280,567,0.442680776,0.49382716
malta 001,363,456,885,0.410169492,0.515254237
malta 002,375,460,902,0.415742794,0.509977827
malta 003,300,206,588,0.510204082,0.350340136
malta 004,252,251,542,0.464944649,0.463099631
malta 005,230,283,577,0.398613518,0.490467938
malta 006,364,310,747,0.487282463,0.414993307
malta 007,314,247,608,0.516447368,0.40625
malta 008,354,290,700,0.505714286,0.414285714
malta 009,168,222,430,0.390697674,0.51627907
malta 010,306,332,697,0.43902439,0.476327116
malta 011,324,348,744,0.435483871,0.467741935
malta 012,319,373,751,0.424766977,0.496671105
mechanicville 001,153,194,370,0.413513514,0.524324324
mechanicville 002,108,128,255,0.423529412,0.501960784
mechanicville 003,167,166,352,0.474431818,0.471590909
mechanicville 004,104,162,287,0.362369338,0.56445993
mechanicville 005,150,160,340,0.441176471,0.470588235
mechanicville 006,150,166,340,0.441176471,0.488235294
milton 001,302,195,547,0.552102377,0.356489945
milton 002,253,311,621,0.407407407,0.500805153
milton 003,132,159,332,0.397590361,0.478915663
milton 004,369,415,849,0.434628975,0.488810365
milton 005,280,343,697,0.401721664,0.492109039
milton 006,144,345,555,0.259459459,0.621621622
milton 007,244,395,701,0.34807418,0.563480742
milton 008,165,150,347,0.475504323,0.432276657
milton 009,328,327,710,0.461971831,0.46056338
milton 010,405,367,847,0.478158205,0.433293979
milton 011,258,284,607,0.425041186,0.467874794
milton 012,151,313,501,0.301397206,0.624750499
milton 013,326,374,756,0.431216931,0.494708995
milton 014,286,297,643,0.444790047,0.461897356
moreau 001,163,217,415,0.392771084,0.522891566
moreau 002,155,184,369,0.420054201,0.498644986
moreau 003,248,263,580,0.427586207,0.453448276
moreau 004,266,407,739,0.359945873,0.550744249
moreau 005,322,404,797,0.404015056,0.506900878
moreau 006,259,391,713,0.363253857,0.548387097
moreau 007,162,273,473,0.342494715,0.577167019
moreau 008,144,197,381,0.377952756,0.517060367
moreau 009,257,282,600,0.428333333,0.47
moreau 010,326,549,940,0.346808511,0.584042553
moreau 011,357,357,783,0.455938697,0.455938697
northumberland 001,324,448,856,0.378504673,0.523364486
northumberland 002,231,323,603,0.383084577,0.535655058
northumberland 003,139,261,433,0.321016166,0.602771363
northumberland 004,189,283,522,0.362068966,0.542145594
providence 001,172,450,699,0.246065808,0.643776824
providence 002,63,210,286,0.22027972,0.734265734
saratoga 001,243,239,539,0.450834879,0.443413729
saratoga 002,314,346,723,0.434301521,0.478561549
saratoga 003,178,225,445,0.4,0.505617978
saratoga 004,195,236,471,0.414012739,0.501061571
saratoga 005,225,326,602,0.373754153,0.541528239
saratogasprings 001,395,179,621,0.636070853,0.288244767
saratogasprings 002,365,123,530,0.688679245,0.232075472
saratogasprings 003,131,110,272,0.481617647,0.404411765
saratogasprings 004,437,144,629,0.694753577,0.228934817
saratogasprings 005,344,174,567,0.60670194,0.306878307
saratogasprings 006,449,165,676,0.664201183,0.24408284
saratogasprings 007,75,82,172,0.436046512,0.476744186
saratogasprings 008,363,125,536,0.677238806,0.233208955
saratogasprings 009,365,134,556,0.65647482,0.241007194
saratogasprings 010,240,171,456,0.526315789,0.375
saratogasprings 011,576,285,957,0.601880878,0.297805643
saratogasprings 012,365,147,567,0.643738977,0.259259259
saratogasprings 013,212,109,357,0.593837535,0.305322129
saratogasprings 014,439,246,751,0.584553928,0.327563249
saratogasprings 015,300,190,550,0.545454545,0.345454545
saratogasprings 016,207,194,438,0.47260274,0.442922374
saratogasprings 017,284,315,663,0.428355958,0.475113122
saratogasprings 018,233,229,523,0.445506692,0.437858509
saratogasprings 019,299,204,546,0.547619048,0.373626374
saratogasprings 020,300,284,650,0.461538462,0.436923077
saratogasprings 021,360,241,660,0.545454545,0.365151515
saratogasprings 022,472,360,911,0.518111965,0.395170143
saratogasprings 023,474,298,848,0.558962264,0.351415094
saratogasprings 024,446,16,475,0.938947368,0.033684211
saratogasprings 025,191,108,328,0.582317073,0.329268293
stillwater001,145,262,447,0.324384787,0.586129754
stillwater002,121,168,310,0.390322581,0.541935484
stillwater003,224,368,651,0.344086022,0.565284178
stillwater004,134,230,401,0.334164589,0.573566085
stillwater005,381,664,1129,0.337466785,0.588131089
stillwater006,37,106,152,0.243421053,0.697368421
stillwater007,237,363,643,0.368584759,0.564541213
stillwater008,238,353,622,0.382636656,0.567524116
waterford 001,177,147,372,0.475806452,0.39516129
waterford 002,157,182,370,0.424324324,0.491891892
waterford 003,190,221,449,0.423162584,0.4922049
waterford 004,128,167,334,0.383233533,0.5
waterford 005,200,236,469,0.426439232,0.503198294
waterford 006,301,365,718,0.419220056,0.508356546
waterford 007,183,242,460,0.397826087,0.526086957
waterford 008,341,399,792,0.430555556,0.503787879
wilton 001,285,317,657,0.43379,0.4824962
wilton 002,279,276,619,0.450727,0.4458805
wilton 003,285,269,599,0.475793,0.4490818
wilton 004,291,288,630,0.4619048,0.4571429
wilton 005,259,308,617,0.4197731,0.4991896
wilton 006,156,285,473,0.3298097,0.602537
wilton 007,247,213,502,0.4920319,0.4243028
wilton 008,280,244,569,0.4920914,0.4288225
wilton 009,296,347,711,0.416315,0.488045
wilton 010,305,265,612,0.498366,0.4330065
wilton 011,296,289,636,0.4654088,0.4544025
wilton 012,246,211,499,0.492986,0.4228457
wilton 013,233,238,518,0.4498069,0.4594595
wilton 014,297,241,576,0.515625,0.4184028
