"precinct","total_votes","pct_obama","pct_romney","pct_hisp"
"bedford ed 001",386,0.489637306,0.507772021,0.011784512
"bedford ed 002",405,0.496296296,0.501234568,0.016393443
"bedford ed 003",528,0.617424242,0.371212121,0.041612484
"bedford ed 004",487,0.523613963,0.470225873,0.096590909
"bedford ed 005",467,0.689507495,0.299785867,0.183291771
"bedford ed 006",283,0.636042403,0.342756184,0.012690355
"bedford ed 007",406,0.5,0.490147783,0.006872852
"bedford ed 008",710,0.638028169,0.347887324,0.012182741
"bedford ed 009",540,0.561111111,0.425925926,0.051869723
"bedford ed 010",405,0.488888889,0.496296296,0.00877193
"bedford ed 011",577,0.466204506,0.52339688,0.007194245
"bedford ed 012",501,0.479041916,0.510978044,0.043256997
"bedford ed 013",419,0.403341289,0.589498807,0.035483871
"bedford ed 014",514,0.618677043,0.375486381,0.028089888
"bedford ed 015",527,0.590132827,0.390891841,0.015852048
"bedford ed 016",274,0.642335766,0.343065693,0.06746988
"bedford ed 017",283,0.491166078,0.505300353,0.008908686
"bedford ed 018",200,0.585,0.395,0.048913043
"cortlandt ed 001",593,0.456998314,0.529510961,0.070921986
"cortlandt ed 002",377,0.453580902,0.533156499,0.117001828
"cortlandt ed 003",232,0.448275862,0.512931034,0.079510703
"cortlandt ed 004",514,0.505836576,0.480544747,0.061111111
"cortlandt ed 005",522,0.570881226,0.421455939,0.040047114
"cortlandt ed 006",489,0.756646217,0.226993865,0.059593023
"cortlandt ed 007",427,0.68618267,0.304449649,0.082508251
"cortlandt ed 008",490,0.704081633,0.273469388,0.0781893
"cortlandt ed 009",321,0.68847352,0.292834891,0.031380753
"cortlandt ed 010",580,0.636206897,0.336206897,0.038600724
"cortlandt ed 011",533,0.527204503,0.444652908,0.055769231
"cortlandt ed 012",484,0.619834711,0.367768595,0.145862553
"cortlandt ed 013",882,0.565759637,0.419501134,0.130952381
"cortlandt ed 014",597,0.574539363,0.418760469,0.118527043
"cortlandt ed 015",675,0.511111111,0.46962963,0.089478859
"cortlandt ed 016",360,0.438888889,0.547222222,0.114337568
"cortlandt ed 017",292,0.544520548,0.434931507,0.018604651
"cortlandt ed 018",458,0.517467249,0.473799127,0.13940256
"cortlandt ed 020",489,0.54396728,0.439672802,0.17440225
"cortlandt ed 021",699,0.52360515,0.464949928,0.151268116
"cortlandt ed 022",722,0.621883657,0.361495845,0.030217186
"cortlandt ed 023",603,0.623548922,0.35986733,0.072607261
"cortlandt ed 024",578,0.510380623,0.475778547,0.132620321
"cortlandt ed 025",713,0.72230014,0.260869565,0.025252525
"cortlandt ed 026",505,0.536633663,0.44950495,0.090663058
"cortlandt ed 027",573,0.497382199,0.486910995,0.105717368
"cortlandt ed 028",741,0.533063428,0.454790823,0.116469518
"cortlandt ed 029",162,0.679012346,0.290123457,0.014084507
"cortlandt ed 030",489,0.627811861,0.355828221,0.064556962
"cortlandt ed 031",422,0.592417062,0.395734597,0.053054662
"cortlandt ed 032",349,0.667621777,0.315186246,0.026970954
"cortlandt ed 033",404,0.618811881,0.361386139,0.030716724
"cortlandt ed 034",639,0.560250391,0.406885759,0.08886619
"cortlandt ed 035",330,0.557575758,0.433333333,0.107279693
"cortlandt ed 038",621,0.549114332,0.425120773,0.050163577
"cortlandt ed 039",588,0.585034014,0.404761905,0.056753689
"eastchester ed 001",574,0.628919861,0.350174216,0.027431421
"eastchester ed 002",278,0.589928058,0.410071942,0.027932961
"eastchester ed 003",429,0.421911422,0.571095571,0.025641026
"eastchester ed 004",509,0.438113949,0.544204322,0.053050398
"eastchester ed 005",436,0.371559633,0.623853211,0.015797788
"eastchester ed 006",259,0.447876448,0.540540541,0.020408163
"eastchester ed 007",264,0.325757576,0.662878788,0.042079208
"eastchester ed 008",376,0.369680851,0.622340426,0.021978022
"eastchester ed 009",231,0.411255411,0.588744589,0.089285714
"eastchester ed 010",417,0.429256595,0.553956835,0.040322581
"eastchester ed 011",238,0.680672269,0.302521008,0.127604167
"eastchester ed 012",384,0.645833333,0.341145833,0.163701068
"eastchester ed 013",626,0.517571885,0.468051118,0.075342466
"eastchester ed 014",534,0.720973783,0.260299625,0.105582524
"eastchester ed 015",562,0.28113879,0.704626335,0.015700483
"eastchester ed 016",589,0.346349745,0.646859083,0.034852547
"eastchester ed 017",526,0.382129278,0.61026616,0.054945055
"eastchester ed 018",315,0.476190476,0.514285714,0.021077283
"eastchester ed 019",445,0.368539326,0.620224719,0.03
"eastchester ed 020",555,0.515315315,0.47027027,0.008860759
"eastchester ed 021",322,0.462732919,0.52173913,0.006315789
"eastchester ed 022",514,0.451361868,0.544747082,0.002547771
"eastchester ed 023",569,0.398945518,0.576449912,0.023498695
"eastchester ed 024",237,0.434599156,0.548523207,0.033505155
"eastchester ed 025",474,0.436708861,0.542194093,0.023738872
"eastchester ed 026",404,0.319306931,0.673267327,0.019769357
"eastchester ed 027",421,0.627078385,0.368171021,0.045840407
"eastchester ed 028",330,0.381818182,0.612121212,0.042801556
"eastchester ed 029",547,0.290676417,0.700182815,0.021080369
"eastchester ed 030",438,0.433789954,0.554794521,0.008561644
"eastchester ed 031",352,0.423295455,0.5625,0.028806584
"eastchester ed 032",351,0.45014245,0.518518519,0.053113553
"eastchester ed 034",305,0.626229508,0.363934426,0.007317073
"eastchester ed 035",308,0.425324675,0.564935065,0.064367816
"eastchester ed 036",354,0.274011299,0.720338983,0.038854806
"eastchester ed 037",312,0.362179487,0.625,0.025445293
"eastchester ed 038",369,0.317073171,0.674796748,0.013011152
"eastchester ed 039",348,0.295977011,0.701149425,0.046092184
"greenburgh ed 001",675,0.725925926,0.263703704,0.203555556
"greenburgh ed 002",372,0.758064516,0.217741935,0.331081081
"greenburgh ed 003",386,0.74611399,0.233160622,0.23608769
"greenburgh ed 004",613,0.657422512,0.329526917,0.0625
"greenburgh ed 005",573,0.623036649,0.359511344,0.124096386
"greenburgh ed 006",285,0.6,0.378947368,0.066298343
"greenburgh ed 007",584,0.594178082,0.397260274,0.094300518
"greenburgh ed 008",577,0.689774697,0.291161179,0.063276836
"greenburgh ed 009",554,0.653429603,0.332129964,0.066326531
"greenburgh ed 010",669,0.573991031,0.412556054,0.072970195
"greenburgh ed 011",338,0.609467456,0.381656805,0.023094688
"greenburgh ed 012",514,0.544747082,0.445525292,0.054901961
"greenburgh ed 013",839,0.638855781,0.342073897,0.10530303
"greenburgh ed 014",479,0.766179541,0.221294363,0.09400545
"greenburgh ed 015",551,0.738656987,0.252268603,0.032128514
"greenburgh ed 016",561,0.613190731,0.365418895,0.083333333
"greenburgh ed 017",411,0.661800487,0.326034063,0.051529791
"greenburgh ed 018",610,0.783606557,0.196721311,0.064064064
"greenburgh ed 020",468,0.700854701,0.288461538,0.015471167
"greenburgh ed 021",436,0.770642202,0.21559633,0.045608108
"greenburgh ed 022",247,0.753036437,0.218623482,0.081534772
"greenburgh ed 023",780,0.848717949,0.134615385,0.009118541
"greenburgh ed 024",724,0.671270718,0.320441989,0.078080903
"greenburgh ed 025",617,0.62560778,0.367909238,0.038420491
"greenburgh ed 026",654,0.706422018,0.288990826,0.181102362
"greenburgh ed 027",505,0.633663366,0.352475248,0.221088435
"greenburgh ed 028",307,0.80781759,0.188925081,0.270916335
"greenburgh ed 029",178,0.505617978,0.471910112,0.052631579
"greenburgh ed 030",702,0.636752137,0.347578348,0.126617375
"greenburgh ed 031",651,0.608294931,0.376344086,0.069422777
"greenburgh ed 032",412,0.618932039,0.371359223,0.02293578
"greenburgh ed 033",490,0.636734694,0.342857143,0.019444444
"greenburgh ed 034",672,0.660714286,0.333333333,0.010486177
"greenburgh ed 035",547,0.617915905,0.361974406,0.00511509
"greenburgh ed 036",362,0.649171271,0.337016575,0.021582734
"greenburgh ed 037",571,0.61821366,0.369527145,0.052696078
"greenburgh ed 039",493,0.693711968,0.296146045,0.081717452
"greenburgh ed 040",515,0.568932039,0.423300971,0.044328553
"greenburgh ed 041",466,0.721030043,0.276824034,0.057098765
"greenburgh ed 042",493,0.713995943,0.271805274,0.171851852
"greenburgh ed 043",348,0.709770115,0.275862069,0.054968288
"greenburgh ed 044",524,0.721374046,0.269083969,0.151741294
"greenburgh ed 045",322,0.944099379,0.052795031,0.144086022
"greenburgh ed 046",699,0.969957082,0.028612303,0.115555556
"greenburgh ed 047",399,0.957393484,0.037593985,0.10971223
"greenburgh ed 048",621,0.560386473,0.425120773,0.043525571
"greenburgh ed 049",619,0.573505654,0.413570275,0.015228426
"greenburgh ed 050",728,0.614010989,0.373626374,0.077220077
"greenburgh ed 051",319,0.523510972,0.470219436,0.084016393
"greenburgh ed 052",558,0.64874552,0.340501792,0.025220681
"greenburgh ed 053",549,0.699453552,0.278688525,0.079404467
"greenburgh ed 054",381,0.585301837,0.396325459,0.029357798
"greenburgh ed 055",663,0.671191554,0.321266968,0.140740741
"greenburgh ed 056",483,0.716356108,0.267080745,0.105563481
"greenburgh ed 058",663,0.711915535,0.277526395,0.077490775
"greenburgh ed 059",525,0.765714286,0.219047619,0.011080332
"greenburgh ed 060",516,0.699612403,0.294573643,0.032876712
"greenburgh ed 061",473,0.744186047,0.249471459,0.092352092
"greenburgh ed 062",549,0.763205829,0.229508197,0.042723632
"greenburgh ed 063",768,0.864583333,0.125,0.132352941
"greenburgh ed 064",644,0.895962733,0.099378882,0.208582834
"greenburgh ed 065",600,0.58,0.403333333,0.064270153
"greenburgh ed 066",320,0.575,0.409375,0.067982456
"greenburgh ed 067",605,0.67107438,0.325619835,0.112938596
"greenburgh ed 068",442,0.714932127,0.262443439,0.128
"greenburgh ed 069",653,0.638591118,0.355283308,0.005417118
"greenburgh ed 070",357,0.641456583,0.350140056,0.073043478
"greenburgh ed 071",442,0.751131222,0.242081448,0.128571429
"greenburgh ed 072",432,0.655092593,0.324074074,0.116057234
"greenburgh ed 073",666,0.68018018,0.315315315,0.016393443
"greenburgh ed 074",562,0.665480427,0.325622776,0.039660057
"greenburgh ed 075",560,0.660714286,0.325,0.047461369
"greenburgh ed 077",599,0.622704508,0.367278798,0.138826185
"greenburgh ed 078",655,0.906870229,0.090076336,0.093952484
"greenburgh ed 079",744,0.646505376,0.336021505,0.054562559
"greenburgh ed 080",259,0.625482625,0.362934363,0.091314031
"greenburgh ed 081",483,0.954451346,0.045548654,0.164158687
