"precinct","total_votes","pct_clinton","pct_trump","pct_hisp"
"bedford ed 001",430,0.6,0.337209302325581,0.011784512
"bedford ed 002",429,0.648018648018648,0.268065268065268,0.016393443
"bedford ed 003",585,0.652991452991453,0.311111111111111,0.041612484
"bedford ed 004",526,0.577946768060836,0.38212927756654,0.096590909
"bedford ed 005",578,0.650519031141868,0.28719723183391,0.183291771
"bedford ed 006",303,0.696369636963696,0.260726072607261,0.012690355
"bedford ed 007",440,0.595454545454545,0.320454545454545,0.006872852
"bedford ed 008",766,0.702349869451697,0.232375979112272,0.012182741
"bedford ed 009",575,0.638260869565217,0.309565217391304,0.051869723
"bedford ed 010",399,0.606516290726817,0.330827067669173,0.00877193
"bedford ed 011",601,0.597337770382696,0.336106489184692,0.007194245
"bedford ed 012",563,0.616341030195382,0.303730017761989,0.043256997
"bedford ed 013",443,0.584650112866817,0.340857787810384,0.035483871
"bedford ed 015",550,0.661818181818182,0.276363636363636,0.015852048
"bedford ed 016",289,0.643598615916955,0.314878892733564,0.06746988
"bedford ed 017",334,0.589820359281437,0.329341317365269,0.008908686
"bedford ed 018",191,0.649214659685864,0.267015706806283,0.048913043
"cortlandt ed 001",623,0.362760834670947,0.571428571428571,0.070921986
"cortlandt ed 002",408,0.448529411764706,0.502450980392157,0.117001828
"cortlandt ed 003",232,0.362068965517241,0.586206896551724,0.079510703
"cortlandt ed 004",560,0.460714285714286,0.4875,0.061111111
"cortlandt ed 005",591,0.583756345177665,0.377326565143824,0.040047114
"cortlandt ed 006",591,0.785109983079526,0.150592216582064,0.059593023
"cortlandt ed 007",489,0.656441717791411,0.265848670756646,0.082508251
"cortlandt ed 008",517,0.719535783365571,0.218568665377176,0.0781893
"cortlandt ed 009",387,0.674418604651163,0.263565891472868,0.031380753
"cortlandt ed 010",688,0.655523255813954,0.268895348837209,0.038600724
"cortlandt ed 011",546,0.580586080586081,0.358974358974359,0.055769231
"cortlandt ed 012",530,0.567924528301887,0.386792452830189,0.145862553
"cortlandt ed 013",978,0.533742331288344,0.424335378323108,0.130952381
"cortlandt ed 014",627,0.537480063795853,0.427432216905901,0.118527043
"cortlandt ed 015",757,0.540290620871863,0.400264200792602,0.089478859
"cortlandt ed 016",399,0.345864661654135,0.593984962406015,0.114337568
"cortlandt ed 017",313,0.539936102236422,0.39297124600639,0.018604651
"cortlandt ed 018",512,0.51171875,0.4296875,0.13940256
"cortlandt ed 019",262,0.698473282442748,0.270992366412214,0.006410256
"cortlandt ed 020",518,0.521235521235521,0.432432432432432,0.17440225
"cortlandt ed 021",796,0.501256281407035,0.454773869346734,0.151268116
"cortlandt ed 022",813,0.646986469864699,0.296432964329643,0.030217186
"cortlandt ed 023",653,0.609494640122512,0.355283307810107,0.072607261
"cortlandt ed 024",658,0.475683890577508,0.468085106382979,0.132620321
"cortlandt ed 025",817,0.740514075887393,0.20563035495716,0.025252525
"cortlandt ed 026",553,0.484629294755877,0.453887884267631,0.090663058
"cortlandt ed 027",665,0.427067669172932,0.538345864661654,0.105717368
"cortlandt ed 028",817,0.522643818849449,0.425948592411261,0.116469518
"cortlandt ed 029",216,0.722222222222222,0.203703703703704,0.014084507
"cortlandt ed 030",524,0.620229007633588,0.353053435114504,0.064556962
"cortlandt ed 031",455,0.635164835164835,0.331868131868132,0.053054662
"cortlandt ed 032",385,0.753246753246753,0.220779220779221,0.026970954
"cortlandt ed 033",470,0.670212765957447,0.270212765957447,0.030716724
"cortlandt ed 034",700,0.525714285714286,0.402857142857143,0.08886619
"cortlandt ed 035",392,0.497448979591837,0.456632653061224,0.107279693
"cortlandt ed 038",670,0.583582089552239,0.356716417910448,0.050163577
"cortlandt ed 039",674,0.623145400593472,0.323442136498516,0.056753689
"eastchester ed 001",622,0.65112540192926,0.289389067524116,0.027431421
"eastchester ed 002",280,0.567857142857143,0.392857142857143,0.027932961
"eastchester ed 003",457,0.448577680525164,0.487964989059081,0.025641026
"eastchester ed 004",581,0.442340791738382,0.499139414802065,0.053050398
"eastchester ed 005",483,0.380952380952381,0.575569358178054,0.015797788
"eastchester ed 006",286,0.412587412587413,0.531468531468531,0.020408163
"eastchester ed 007",313,0.39297124600639,0.552715654952077,0.042079208
"eastchester ed 008",407,0.380835380835381,0.574938574938575,0.021978022
"eastchester ed 009",270,0.425925925925926,0.540740740740741,0.089285714
"eastchester ed 010",477,0.492662473794549,0.446540880503145,0.040322581
"eastchester ed 011",256,0.58203125,0.38671875,0.127604167
"eastchester ed 012",397,0.604534005037783,0.360201511335013,0.163701068
"eastchester ed 013",733,0.526603001364257,0.409276944065484,0.075342466
"eastchester ed 014",586,0.704778156996587,0.228668941979522,0.105582524
"eastchester ed 015",598,0.38628762541806,0.553511705685619,0.015700483
"eastchester ed 016",575,0.60695652173913,0.293913043478261,0.034852547
"eastchester ed 017",551,0.566243194192377,0.321234119782214,0.054945055
"eastchester ed 018",331,0.619335347432024,0.29607250755287,0.021077283
"eastchester ed 019",446,0.600896860986547,0.327354260089686,0.03
"eastchester ed 020",588,0.612244897959184,0.316326530612245,0.008860759
"eastchester ed 021",358,0.533519553072626,0.385474860335196,0.006315789
"eastchester ed 022",568,0.577464788732394,0.360915492957746,0.002547771
"eastchester ed 023",645,0.477519379844961,0.449612403100775,0.023498695
"eastchester ed 024",256,0.3984375,0.55859375,0.033505155
"eastchester ed 025",495,0.351515151515152,0.602020202020202,0.023738872
"eastchester ed 026",453,0.342163355408389,0.618101545253863,0.019769357
"eastchester ed 027",452,0.632743362831858,0.307522123893805,0.045840407
"eastchester ed 028",379,0.448548812664908,0.50131926121372,0.042801556
"eastchester ed 029",590,0.357627118644068,0.6,0.021080369
"eastchester ed 030",458,0.417030567685589,0.532751091703057,0.008561644
"eastchester ed 031",372,0.497311827956989,0.451612903225806,0.028806584
"eastchester ed 032",405,0.516049382716049,0.409876543209877,0.053113553
"eastchester ed 033",248,0.508064516129032,0.431451612903226,0.07183908
"eastchester ed 034",320,0.640625,0.321875,0.007317073
"eastchester ed 035",325,0.427692307692308,0.538461538461538,0.064367816
"eastchester ed 036",379,0.33509234828496,0.614775725593668,0.038854806
"eastchester ed 037",307,0.39413680781759,0.560260586319218,0.025445293
"eastchester ed 038",414,0.367149758454106,0.582125603864734,0.013011152
"eastchester ed 039",384,0.296875,0.638020833333333,0.046092184
"greenburgh ed 001",885,0.745762711864407,0.204519774011299,0.203555556
"greenburgh ed 002",395,0.759493670886076,0.177215189873418,0.331081081
"greenburgh ed 003",475,0.778947368421053,0.185263157894737,0.23608769
"greenburgh ed 004",669,0.711509715994021,0.242152466367713,0.0625
"greenburgh ed 005",634,0.67192429022082,0.302839116719243,0.124096386
